Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infraspecific name]	Term Source REF	Term Accession Number	Characteristics[Seed origin]	Protocol REF	Parameter Value[Study start]	Parameter Value[Study duration]	Parameter Value[Growth facility]	Parameter Value[Geographic location]	Term Source REF	Term Accession Number	Sample Name	Characteristics[Experimental unit type]
source21	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	C24	GMI	GMI:6906		Growth							sample146	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample147	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample148	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample149	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample150	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample151	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample152	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample153	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample154	
source22	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-17	GMI	GMI:6907		Growth							sample155	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample156	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample157	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample158	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample159	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample160	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample161	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample162	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample163	
source23	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	CIBC-5	GMI	GMI:6908		Growth							sample164	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample165	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample166	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample167	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample168	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample169	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample170	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample171	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample172	
source24	Arabidopsis thaliana	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	GMI	GMI:6909		Growth							sample173	
